Name,Branch,Place,Exams Accepted,Fees
Dr B R Ambedkar National Institute of Technology Jalandhar,B.Tech Electrical Engineering,"Jalandhar, Punjab",JEE,"Fees:  ₹ 565,600"
"MIT College of Engineering, Pune",B.Tech Electrical Engineering,"Pune, Maharashtra",JEE,"Fees:  ₹ 1,180,000"
"Pandit Deendayal Petroleum University, Gandhinagar",B.Tech Electrical Engineering,"Gandhinagar, Gujarat",JEE,"Fees:  ₹ 921,000"
"Chandigarh University, Chandigarh",BE Electrical Engineering,"Chandigarh, Punjab",NA,"Fees:  ₹ 654,000"
"AISSMS College of Engineering, Pune",BE Electrical Engineering,"Pune, Maharashtra",JEE,"Fees:  ₹ 437,000"
Indian Institute of Technology Roorkee,B.Tech Electrical Engineering,"Roorkee, Uttarakhand",JEE,"Fees:  ₹ 855,000"
"MBM Engineering College, Jodhpur",B.Tech Electrical Engineering,"Jodhpur, Rajasthan",NA,"Fees:  ₹ 120,000"
"Harcourt Butler Technical University, Kanpur",B.Tech Electrical Engineering,"Kanpur, Uttar Pradesh",JEE,"Fees:  ₹ 540,000"
"Mukesh Patel School of Technology Management and Engineering, Mumbai",B.Tech Electrical Engineering,"Mumbai, Maharashtra",NPAT,"Fees:  ₹ 1,160,000"
Indian Institute of Technology Banaras Hindu University Varanasi,B.Tech Electrical Engineering,"Varanasi, Uttar Pradesh",JEE,"Fees:  ₹ 828,010"
"Hindustan Institute of Technology and Science, Chennai",B.Tech Electrical Engineering Evening,"Chennai, Tamil Nadu",HITSEEE,"Fees:  ₹ 207,500"
"Dayalbagh Educational Institute, Agra",B.Tech Electrical Engineering,"Agra, Uttar Pradesh",JEE,"Fees:  ₹ 51,300"
"Sant Longowal Institute of Engineering and Technology, Longowal",BE Electrical Engineering,"Longowal, Punjab",JEE,"Fees:  ₹ 271,000"
Indian Institute of Technology Kanpur,B.Tech Electrical Engineering,"Kanpur, Uttar Pradesh",JEE,"Fees:  ₹ 830,850"
"Haldia Institute of Technology, Haldia",B.Tech Electrical Engineering,"Haldia, West Bengal",JEE,"Fees:  ₹ 360,700"
Indian Institute of Technology Hyderabad,B.Tech Electrical Engineering,"Hyderabad, Telangana",JEE,"Fees:  ₹ 887,780"
"Kalinga Institute of Industrial Technology, Bhubaneswar",B.Tech Electrical Engineering,"Bhubaneshwar, Odisha",KIITEE,"Fees:  ₹ 1,400,000"
Malaviya National Institute of Technology Jaipur,B.Tech Electrical Engineering,"Jaipur, Rajasthan",JEE,"Fees:  ₹ 411,472"
"Walchand College of Engineering, Sangli",B.Tech Electrical Engineering,"Sangli, Maharashtra",JEE,"Fees:  ₹ 339,390"
"SRM Institute of Science and Technology, Ramapuram Campus",B.Tech Electrical and Computer Engineering,"Ramapuram, Tamil Nadu",NA,Exams:  SRMJEEE 
"Institute of Engineering and Technology, Lucknow",B.Tech Electrical Engineering,"Lucknow, Uttar Pradesh",UPSEE,"Fees:  ₹ 339,100"
National Institute of Technology Rourkela,B.Tech Electrical Engineering,"Rourkela, Odisha",JEE,"Fees:  ₹ 599,500"
"Vivekananda Global University, Jaipur",B.Tech Electrical Engineering,"Jaipur, Rajasthan",JEE,"Fees:  ₹ 360,000"
"GIET University, Gunupur",B.Tech Electrical Engineering,"Gunupur, Odisha",JEE,"Fees:  ₹ 456,000"
"Bhilai Institute of Technology, Durg",BE Electrical Engineering,"Durg, Chhattisgarh",JEE,"Fees:  ₹ 283,400"
Indian Institute of Technology Bhubaneswar,B.Tech Electrical Engineering,"Bhubaneshwar, Odisha",JEE,"Fees:  ₹ 993,600"
"Shri Ramdeobaba College of Engineering and Management, Nagpur",BE Electrical Engineering,"Nagpur, Maharashtra",JEE,"Fees:  ₹ 599,600"
"Government College of Engineering, Amravati",B.Tech Electrical Engineering,"Amravati, Maharashtra",JEE,"Fees:  ₹ 335,740"
Indian Institute of Technology Gandhinagar,B.Tech Electrical Engineering,"Gandhinagar, Gujarat",JEE,"Fees:  ₹ 986,500"
"Tezpur University, Tezpur",B.Tech Electrical Engineering,"Tezpur, Assam",JEE,"Fees:  ₹ 163,344"
"Guru Nanak Dev Engineering College, Ludhiana",B.Tech Electrical Engineering,"Ludhiana, Punjab",JEE,"Fees:  ₹ 362,289"
National Institute of Technology Raipur,B.Tech Electrical Engineering,"Raipur, Chhattisgarh",JEE,"Fees:  ₹ 540,000"
"Graphic Era University, Dehradun",B.Tech Electrical Engineering,"Dehradun, Uttarakhand",JEE,"Fees:  ₹ 812,000"
"Sharda University, Greater Noida",B.Tech Electrical Engineering,"Greater Noida, Uttar Pradesh",JEE,"Fees:  ₹ 636,000"
"Government College of Engineering, Karad",B.Tech Electrical Engineering,"Karad, Maharashtra",JEE,"Fees:  ₹ 338,404"
"Birla Vishvakarma Mahavidyalaya, Anand",B.Tech Electrical Engineering,"Anand, Gujarat",GUJCET,"Fees:  ₹ 33,260"
"Guru Gobind Singh Indraprastha University, Delhi",B.Tech Electrical Engineering,"New Delhi, Delhi",IPU,"Fees:  ₹ 256,000"
"Dr BC Roy Engineering College, Durgapur",B.Tech Electrical Engineering,"Durgapur, West Bengal",NA,"Fees:  ₹ 363,000"
"Galgotias College of Engineering and Technology, Greater Noida",B.Tech Electrical Engineering,"Greater Noida, Uttar Pradesh",JEE,"Fees:  ₹ 484,412"
"Thapar Institute of Engineering and Technology, Patiala",BE Electrical Engineering,"Patiala, Punjab",JEE,"Fees:  ₹ 673,700"
"College of Technology, GB Pant University of Agriculture and Technology, Pantnagar",B.Tech Electrical Engineering,"Pantnagar, Uttarakhand",JEE,"Fees:  ₹ 222,356"
"Lakshmi Narain College of Technology, Bhopal",BE Electrical Engineering,"Bhopal, Madhya Pradesh",JEE,"Fees:  ₹ 1,022,000"
"YMCA University of Science and Technology, Faridabad",B.Tech Electrical Engineering,"Faridabad, Haryana",NA,"Fees:  ₹ 291,800"
"Bhagalpur College of Engineering, Bhagalpur",B.Tech Electrical Engineering,"Bhagalpur, Bihar",BCECE,"Fees:  ₹ 57,800"
"Jabalpur Engineering College, Jabalpur",BE Electrical Engineering,"Jabalpur, Madhya Pradesh",JEE,"Fees:  ₹ 89,200"
"GH Raisoni College of Engineering, Nagpur",BE Electrical Engineering,"Nagpur, Maharashtra",JEE,"Fees:  ₹ 628,644"
"Institute of Engineering and Rural Technology, Allahabad",B.Tech Electrical Engineering,"Allahabad, Uttar Pradesh",UPSEE,"Fees:  ₹ 184,400"
"DIT University, Dehradun",B.Tech Electrical Engineering,"Dehradun, Uttarakhand",JEE,"Fees:  ₹ 704,340"
"CV Raman College of Engineering, Bhubaneswar",B.Tech Electrical Engineering,"Bhubaneswar, Odisha",JEE,"Fees:  ₹ 356,000"
"Vishwakarma Government Engineering College, Ahmedabad",BE Electrical Engineering,"Ahmedabad, Gujarat",NA,"Fees:  ₹ 11,200"
"Shri Govindram Seksaria Institute of Technology and Science, Indore",BE Electrical Engineering,"Indore, Madhya Pradesh",JEE,"Fees:  ₹ 283,450"
"College of Engineering and Technology, Bhubaneswar",B.Tech Electrical Engineering,"Bhubaneshwar, Odisha",OJEE,"Fees:  ₹ 236,200"
Maulana Azad National Institute of Technology Bhopal,B.Tech Electrical Engineering,"Bhopal, Madhya Pradesh",JEE,"Fees:  ₹ 558,911"
"Government Engineering College, Ajmer",B.Tech Electrical Engineering,"Ajmer, Rajasthan",JEE,"Fees:  ₹ 240,000"
"BIT Sindri, Dhanbad",B.Tech Electrical Engineering,"Dhanbad, Jharkhand",JEECE,"Fees:  ₹ 147,223"
National Institute of Technology Patna,B.Tech Electrical Engineering,"Patna, Bihar",JEE,"Fees:  ₹ 565,500"
"JSS Academy of Technical Education, Noida",B.Tech Electrical Engineering,"Noida, Uttar Pradesh",UPSEE,"Fees:  ₹ 485,720"
"Sandip University, Nashik",B.Tech Electrical Engineering,"Nashik, Maharashtra",NA,NA
"Madhav Institute of Technology and Science, Gwalior",BE Electrical Engineering,"Gwalior, Madhya Pradesh",JEE,"Fees:  ₹ 248,000"
"Institute of Infrastructure Technology Research and Management, Ahmedabad",B.Tech Electrical Engineering,"Ahmedabad, Gujarat",GUJCET,"Fees:  ₹ 597,230"
"DKTE Society's Textile and Engineering Institute, Ichalkaranji",B.Tech Electrical Engineering,"Kolhapur, Maharashtra",NA,"Exams:  JEE Main ,  MAHA CET "
"Dr DY Patil Institute of Technology, Pune",BE Electrical Engineering,"Pune, Maharashtra",JEE,"Fees:  ₹ 352,000"
"Kalyani Government Engineering College, Nadia",B.Tech Electrical Engineering,"Kolkata, West Bengal",WBJEE,"Fees:  ₹ 34,255"
"Shri Mata Vaishno Devi University, Katra",B.Tech Electrical Engineering,"Katra, Jammu and Kashmir",JEE,"Fees:  ₹ 561,750"
"Shri Guru Gobind Singhji Institute of Engineering and Technology, Vishnupuri",B.Tech Electrical Engineering,"Vishnupuri, Maharashtra",NA,"Fees:  ₹ 301,004"
National Institute of Technology Kurukshetra,B.Tech Electrical Engineering,"Kurukshetra, Haryana",JEE,"Fees:  ₹ 566,900"
"Abacus Institute of Engineering and Management, Hooghly",B.Tech Electrical Engineering,"Kola, West Bengal",JEE,"Fees:  ₹ 300,000"
"Academy of Technology, Hooghly",B.Tech Electrical Engineering,"Hooghly, West Bengal",JEE,"Fees:  ₹ 359,000"
Indian Institute of Technology Ropar,B.Tech Electrical Engineering,"Rupnagar, Punjab",JEE,"Fees:  ₹ 858,200"
"Rajkiya Engineering College, Bijnor",B.Tech Electrical Engineering,"Bijnor, Uttar Pradesh",UPSEE,"Fees:  ₹ 221,220"
"KK Wagh Institute of Engineering Education and Research, Nashik",BE Electrical Engineering,"Nashik, Maharashtra",MAHA,"Fees:  ₹ 328,000"
Indian Institute of Technology Indian School of Mines Dhanbad,B.Tech Electrical Engineering,"Dhanbad, Jharkhand",JEE,"Fees:  ₹ 904,100"
"Kamla Nehru Institute of Technology, Sultanpur",B.Tech Electrical Engineering,"Sultanpur, Uttar Pradesh",JEE,"Fees:  ₹ 238,400"
"Sardar Patel College of Engineering, Mumbai",B.Tech Electrical Engineering,"Mumbai, Maharashtra",JEE,"Fees:  ₹ 338,800"
"Jalpaiguri Government Engineering College, Jalpaiguri",B.Tech Electrical Engineering,"Jalpaiguri, West Bengal",WBJEE,"Fees:  ₹ 35,209"
"Madan Mohan Malaviya University of Technology, Gorakhpur",B.Tech Electrical Engineering,"Gorakhpur, Uttar Pradesh",NA,"Fees:  ₹ 643,700"
National Institute of Technology Durgapur,B.Tech Electrical Engineering,"Durgapur, West Bengal",JEE,"Fees:  ₹ 550,900"
"KIT's College of Engineering, Kolhapur",B.Tech Electrical Engineering,"Gokul Shirgaon, Maharashtra",MAHA,"Fees:  ₹ 358,920"
"Fr C Rodrigues Institute of Technology, Navi Mumbai",BE Electrical Engineering,"Navi Mumbai, Maharashtra",JEE,"Fees:  ₹ 544,780"
"Guru Jambheshwar University of Science and Technology, Hisar",B.Tech Electrical Engineering,"Hisar, Haryana",NA,"Fees:  ₹ 222,000"
National Institute of Technology Hamirpur,B.Tech Electrical Engineering,"Hamirpur, Himachal Pradesh",JEE,"Fees:  ₹ 568,050"
"Muzaffarpur Institute of Technology, Muzaffarpur",B.Tech Electrical Engineering,"Muzaffarpur, Bihar",BCECE,"Fees:  ₹ 76,000"
"Techno India, Salt Lake",B.Tech Electrical Engineering,"Kolkata, West Bengal",JEE,"Fees:  ₹ 300,000"
"GLA University, Mathura",B.Tech Electrical Engineering,"Mathura, Uttar Pradesh",GLAET,"Fees:  ₹ 630,000"
"The Institutions of Engineers India, Kolkata",B.Tech Electrical Engineering,"Kolkata, West Bengal",NA,NA
"University Institute of Engineering and Technology, Maharshi Dayanand University, Rohtak",B.Tech Electrical Engineering,"Rohtak, Haryana",JEE,"Fees:  ₹ 280,176"
"Bipin Tripathi Kumaon Institute of Technology, Dwarahat",B.Tech Electrical Engineering,"Hulank Talli Mirai, Uttarakhand",JEE,"Fees:  ₹ 276,000"
"OPJS University, Rajgarh",B.Tech Power Systems Engineering,"Churu, Rajasthan",NA,NA
"Central University of Haryana, Mahendergarh",B.Tech Electrical Engineering,"Mahendragarh, Haryana",NA,NA
"Anjuman-I-Islam's Kalsekar Technical Campus, Navi Mumbai",BE Electrical Engineering,"Navi Mumbai, Maharashtra",MAHA,"Fees:  ₹ 292,213"
"Adarsha College of Engineering, Angul",B.Tech Electrical Engineering,"Angul, Odisha",NA,"Exams:  JEE Main ,  OJEE "
"Priyadarshini College of Engineering, Nagpur",BE Electrical Engineering,"Nagpur, Maharashtra",JEE,"Fees:  ₹ 416,000"
"Institute of Engineering and Management, Kolkata",B.Tech Electrical Engineering,"Kolkata, West Bengal",JEE,"Fees:  ₹ 520,800"
"Sanjivani College of Engineering, Kopargaon",B.Tech Electrical Engineering,"Kopargaon, Maharashtra",NA,"Exams:  JEE Main ,  MAHA CET "
"Government College of Engineering, Nagpur",BE Electrical Engineering,"Khapri, Maharashtra",NA,Exams:  MAHA CET 
"PE Society's Modern College of Engineering, Pune",B.Tech Electrical Engineering,"Pune, Maharashtra",JEE,"Fees:  ₹ 369,000"
"Zakir Husain College of Engineering and Technology, Aligarh Muslim University, Aligarh",B.Tech Electrical Engineering,"Aligarh, Uttar Pradesh",NA,Exams:  AMU Entrance Test 
"Indira Gandhi Institute of Technology, Sarang",B.Tech Electrical Engineering,"Khalapal, Odisha",OJEE,"Fees:  ₹ 128,804"
Indian Institute of Technology Tirupati,B.Tech Electrical Engineering,"Tirupati, Andhra Pradesh",JEE,"Fees:  ₹ 880,650"
"Government Engineering College, Bilaspur",B.Tech Electrical Engineering,"Bilaspur, Chhattisgarh",NA,"Fees:  ₹ 80,000"
"AD Patel Institute of Technology, Anand",B.Tech Electrical Engineering,"Vitthal Udyognagar INA, Gujarat",GUJCET,"Fees:  ₹ 424,000"
"Sai Nath University, Ranchi",B.Tech Electrical Engineering,"Ranchi, Jharkhand",NA,NA
"NIMS University, Jaipur",B.Tech Electrical Engineering,"Jaipur, Rajasthan",NA,"Fees:  ₹ 320,000"
"Annasaheb Dange College of Engineering and Technology, Sangli",BE Electrical Engineering,"Ashta, Maharashtra",JEE,"Fees:  ₹ 316,000"
"Gautam Buddha University, Greater Noida",B.Tech Electrical Engineering,"Greater Noida, Uttar Pradesh",NA,"Fees:  ₹ 416,000"
"Chandubhai S Patel Institute of Technology, Anand",B.Tech Electrical Engineering,"Anand, Gujarat",GUJCET,"Fees:  ₹ 448,000"
"Kalinga University, Raipur",B.Tech Electrical Engineering,"Naya Raipur, Chhattisgarh",NA,"Fees:  ₹ 401,000"
"Veer Surendra Sai University of Technology, Sambalpur",B.Tech Electrical Engineering,"Burla, Odisha",JEE,"Fees:  ₹ 173,030"
"Agricultural Engineering College and Research Institute, Coimbatore",B.Tech Energy Engineering,"Coimbatore, Tamil Nadu",NA,"Fees:  ₹ 242,320"
"Government College of Engineering, Jalgaon",B.Tech Electrical Engineering,"Jalgaon, Maharashtra",MAHA,"Fees:  ₹ 260,000"
"Ujjain Engineering College, Ujjain",BE Electrical Engineering,"Ujjain, Madhya Pradesh",NA,"Fees:  ₹ 98,714"
"Jaipur National University, Jaipur",B.Tech Electrical Engineering,"Jaipur, Rajasthan",NA,NA
"Bundelkhand Institute of Engineering and Technology, Jhansi",B.Tech Electrical Engineering Self Financed,"Jhansi, Uttar Pradesh",UPSEE,"Fees:  ₹ 259,200"
"Government Engineering College, Yavatmal",B.Tech Electrical Engineering,"Yavatmal, Maharashtra",NA,Exams:  MAHA CET 
"Techno International New Town, Kolkata",B.Tech Electrical Engineering,"New Town, West Bengal",JEE,"Fees:  ₹ 300,000"
"Government Engineering College, Bikaner",B.Tech Electrical Engineering,"Bikaner, Rajasthan",NA,"Fees:  ₹ 220,000"
"Siksha 'O' Anusandhan, Bhubaneswar",B.Tech Electrical Engineering,"Bhubaneshwar, Odisha",JEE,"Fees:  ₹ 1,005,000"
"Islamic University of Science and Technology, Pulwama",B.Tech Electrical Engineering,"Pulwama, Jammu and Kashmir",JEE,"Fees:  ₹ 252,200"
"ITM University, Gwalior",B.Tech Electrical Engineering,"Gwalior, Madhya Pradesh",JEE,"Fees:  ₹ 580,000"
"National Institute of Science and Technology, Berhampur",B.Tech Electrical Engineering,"Berhampur, Odisha",JEE,"Fees:  ₹ 272,000"
"JECRC University, Jaipur",B.Tech Electrical Engineering,"Jaipur, Rajasthan",NA,"Fees:  ₹ 500,000"
"Deen Bandhu Chhotu Ram University of Science and Technology, Murthal",B.Tech Electrical Engineering,"Sonepat, Haryana",JEE,"Fees:  ₹ 187,000"
"Galgotias University, Greater Noida",B.Tech Electrical Engineering,"Greater Noida, Uttar Pradesh",JEE,"Fees:  ₹ 669,600"
"Jaipur Engineering College and Research Centre, Jaipur",B.Tech Electrical Engineering,"Jaipur, Rajasthan",NA,"Fees:  ₹ 338,000"
"Assam Engineering College, Guwahati",BE Electrical Engineering,"Guwahati, Assam",Assam,"Fees:  ₹ 44,000"
"SSM College of Engineering and Technology, Baramulla",BE Electrical Engineering,"Rakh Dosli Pora, Jammu and Kashmir",JKCET,"Fees:  ₹ 180,000"
"Parala Maharaja Engineering College, Berhampur",B.Tech Electrical Engineering,"Berhampur, Odisha",JEE,"Fees:  ₹ 121,600"
"Medi-Caps University, Indore",B.Tech Electrical Engineering,"Indore, Madhya Pradesh",JEE,"Fees:  ₹ 405,000"
"Dr Babasaheb Ambedkar Technological University, Lonere",B.Tech Electrical Engineering,"Lonere, Maharashtra",MAHA,"Fees:  ₹ 291,015"
"Babu Banarasi Das University, Lucknow",B.Tech Electrical Engineering,"Lucknow, Uttar Pradesh",NA,"Fees:  ₹ 500,000"
"Pune Vidyarthi Griha’s College of Engineering and Technology, Pune",BE Electrical Engineering,"Pune, Maharashtra",JEE,"Fees:  ₹ 457,588"
"St Francis Institute of Technology, Mumbai",BE Electrical Engineering,"Mumbai, Maharashtra",JEE,"Fees:  ₹ 468,964"
"RC Patel Institute of Technology, Shirpur",BE Electrical Engineering,"Shirpur, Maharashtra",JEE,"Fees:  ₹ 416,000"
"Government Engineering College, Rajkot",BE Electrical Engineering,"Rajkot, Gujarat",NA,Exams:  GUJCET 
National Institute of Technology Srinagar,B.Tech Electrical Engineering,"Srinagar, Jammu and Kashmir",JEE,"Fees:  ₹ 552,900"
"LDRP Institute of Technology and Research, Gandhinagar",BE Electrical Engineering,"Gandhinagar, Gujarat",JEE,"Fees:  ₹ 328,000"
"Govind Ballabh Pant Institute of Engineering and Technology, Pauri Garhwal",B.Tech Electrical Engineering,"Pawomalla, Uttarakhand",JEE,"Fees:  ₹ 263,060"
"GH Patel College of Engineering and Technology, Anand",BE Electrical Engineering,"Anand, Gujarat",NA,"Fees:  ₹ 476,000"
"DAV Institute of Engineering and Technology, Jalandhar",B.Tech Electrical Engineering,"Jalandhar, Punjab",JEE,"Fees:  ₹ 266,000"
Indian Institute of Technology Palakkad,B.Tech Electrical Engineering,"Palakkad, Kerala",JEE,"Fees:  ₹ 879,800"
"Shaheed Bhagat Singh State Technical Campus, Ferozepur",B.Tech Electrical Engineering,"Firozpur, Punjab",JEE,"Fees:  ₹ 405,758"
"All India Shri Shivaji Memorial Society's Institute of Information Technology, Pune",BE Electrical Engineering,"Pune, Maharashtra",JEE,"Fees:  ₹ 338,251"
"Osmania University, Hyderabad",BE Electrical Engineering,"Hyderabad, Telangana",TS,"Fees:  ₹ 49,770"
National Institute of Technology Agartala,B.Tech Electrical Engineering,"Agartala, Tripura",JEE,"Fees:  ₹ 550,750"
"Yeshwantrao Chavan College of Engineering, Nagpur",BE Electrical Engineering,"Nagpur, Maharashtra",JEE,"Fees:  ₹ 607,204"
"Sarvajanik College of Engineering and Technology, Surat",BE Electrical Engineering,"Surat, Gujarat",GUJCET,"Fees:  ₹ 472,000"
"Rajasthan Institute of Engineering and Technology, Jaipur",B.Tech Electrical Engineering,"Jaipur, Rajasthan",JEE,"Fees:  ₹ 318,000"
"Government College of Engineering and Textile Technology, Berhampore",B.Tech Electrical Engineering,"Murshidabad, West Bengal",WBJEE,"Fees:  ₹ 24,000"
National Institute of Technology Silchar,B.Tech Electrical Engineering,"Silchar, Assam",JEE,"Fees:  ₹ 559,460"
"Sir Padampat Singhania University, Udaipur",B.Tech Electrical Engineering,"Udaipur, Rajasthan",NA,"Fees:  ₹ 680,000"
"Rajarshi Shahu College of Engineering, Tathawade",BE Electrical Engineering,"Pimpri-Chinchwad, Maharashtra",MAHA,"Fees:  ₹ 441,000"
"College of Technology and Engineering, Maharana Pratap University of Agriculture and Technology, Udaipur",B.Tech Electrical Engineering,"Udaipur, Rajasthan",JEE,"Fees:  ₹ 191,290"
"Bajaj Institute of Technology, Wardha",BE Electrical Engineering,"Wardha, Maharashtra",MAHA,"Fees:  ₹ 240,000"
"Poornima University, Jaipur",B.Tech Electrical Engineering,"Jaipur, Rajasthan",JEE,"Fees:  ₹ 465,000"
"Samrat Ashok Technological Institute, Vidisha",B.Tech Electrical Engineering,"Vidisha, Madhya Pradesh",JEE,"Fees:  ₹ 231,550"
"Shantilal Shah Engineering College, Bhavnagar",BE Electrical Engineering,"Bhavnagar, Gujarat",NA,"Fees:  ₹ 9,200"
Indian Institute of Technology Indore,B.Tech Electrical Engineering,"Simrol, Madhya Pradesh",JEE,"Fees:  ₹ 864,900"
"Dr DY Patil Institute of Engineering and Technology, Pune",BE Electrical Engineering,"Pune, Maharashtra",JEE,"Fees:  ₹ 292,000"
"Gurukula Kangri Vishwavidyalaya, Haridwar",B.Tech Electrical Engineering,"Haridwar, Uttarakhand",JEE,"Fees:  ₹ 329,800"
"Adesh Institute of Engineering and Technology, Faridkot",B.Tech Electrical Engineering,"Faridkot, Punjab",JEE,"Fees:  ₹ 323,000"
"Ghani Khan Choudhury Institute of Engineering And Technology, Malda",B.Tech Electrical Engineering,"Malda, West Bengal",NA,"Exams:  JEE Main ,  WBJEE "
"IK Gujral Punjab Technical University, Jalandhar",B.Tech Electrical Engineering,"Kapurthala, Punjab",JEE,"Fees:  ₹ 316,000"
"Amrutvahini College of Engineering, Ahmednagar",BE Electrical Engineering,"Sangamner, Maharashtra",MAHA,"Fees:  ₹ 342,020"
"Om Institute of Technology and Management, Hisar",B.Tech Electrical Engineering,"Bir Hisar, Haryana",JEE,"Fees:  ₹ 194,800"
"Zeal College of Engineering and Research, Narhe",B.Tech Electrical Engineering,"Pune, Maharashtra",NA,"Fees:  ₹ 380,000"
"Mizoram University, Aizawl",B.Tech Electrical Engineering,"Aizawl, Mizoram",JEE,"Fees:  ₹ 136,350"
"Abhinav Education Society's College of Engineering and Technology, Wadwadi",BE Electrical Engineering,"Satara, Maharashtra",NA,"Exams:  JEE Main ,  MAHA CET "
"Central University of Karnataka, Gulbarga",B.Tech Electrical Engineering,"Gola B, Karnataka",NA,NA
"AC Patil College of Engineering, Navi Mumbai",BE Electrical Engineering,"Navi Mumbai, Maharashtra",NA,"Fees:  ₹ 362,000"
"Desh Bhagat University, Mandi Gobindgarh",B.Tech Electrical Engineering,"Mandi Gobindgarh, Punjab",NA,NA
"IEC College of Engineering and Technology, Greater Noida",B.Tech Electrical Engineering,"Greater Noida, Uttar Pradesh",JEE,"Fees:  ₹ 372,204"
"Narula Institute of Technology, Agarpara",B.Tech Electrical Engineering,"Kolkata, West Bengal",JEE,"Fees:  ₹ 407,000"
"RIMT University, Gobindgarh",B.Tech Drive and Control Systems,"Gobindgarh, Punjab",NA,NA
"Sanjay Ghodawat University, Kolhapur",BE Electrical Engineering,"Mangaonwadi, Maharashtra",JEE,"Fees:  ₹ 318,000"
"Satyug Darshan Institute of Engineering and Technology, Faridabad",B.Tech Electrical Engineering,"Chakmajai, Haryana",NA,"Fees:  ₹ 321,220"
"KE Society's Rajarambapu Institute of Technology, Sangli",B.Tech Electrical Engineering,"Uran Islampur, Maharashtra",JEE,"Fees:  ₹ 476,300"
"Teerthanker Mahaveer University, Moradabad",B.Tech Electrical Engineering,"Bagadpur, Uttar Pradesh",NA,"Fees:  ₹ 453,600"
"Aliah University, Kolkata",B.Tech Electrical Engineering,"Kolkata, West Bengal",NA,NA
"Rewa Engineering College, Rewa",BE Electrical Engineering,"Rewa, Madhya Pradesh",JEE,"Fees:  ₹ 89,200"
"Government College of Engineering, Keonjhar",B.Tech Electrical Engineering,"Keonjhar, Odisha",OJEE,"Fees:  ₹ 162,100"
"Chitkara University Institute of Engineering and Technology, Jhansla",BE Electrical Engineering,"Jhansala, Punjab",JEE,"Fees:  ₹ 658,000"
"Sri Satya Sai University of Technology and Medical Sciences, Sehore",BE Electrical Engineering,"Sehore, Madhya Pradesh",NA,NA
